City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,borba,-4.3878,-59.5939,301.85,80,100,1.36,BR,1681499747
156,avallon,47.4833,3.9,280.37,95,100,4.17,FR,1681499747
157,petropavlovsk-kamchatskiy,53.0452,158.6483,268.48,100,75,0.0,RU,1681499747
158,kurtamysh,54.9103,64.4319,268.08,38,100,8.14,RU,1681499747
159,bhakkar,31.6253,71.0657,303.31,16,8,2.85,PK,1681499747
160,buala,-8.145,159.5921,299.55,86,93,5.81,SB,1681499748
161,codrington,-38.2667,141.9667,292.73,50,100,10.44,AU,1681499453
162,bethel,41.3712,-73.414,306.88,28,0,5.14,US,1681499445
163,victor harbor,-35.5667,138.6167,289.08,85,100,7.04,AU,1681499748
164,panama city,8.9936,-79.5197,308.24,43,20,10.29,PA,1681499673
165,zaragoza,41.6561,-0.8773,290.4,58,75,7.72,ES,1681499516
166,sitka,57.0531,-135.33,280.09,57,40,6.17,US,1681499483
167,port-cartier,50.0334,-66.8654,279.34,61,99,4.76,CA,1681499443
168,chokurdakh,70.6333,147.9167,258.04,97,100,0.92,RU,1681499451
169,thunder bay,48.4001,-89.3168,279.1,97,100,2.55,CA,1681499587
170,rock sound,24.9,-76.2,297.82,85,39,5.13,BS,1681499748
171,el tigre,8.8875,-64.2454,308.69,26,82,3.62,VE,1681499748
172,naryan-mar,67.6713,53.087,272.21,93,100,5.92,RU,1681499749
173,bereda,43.2686,-7.5406,286.01,79,29,2.21,ES,1681499457
174,qianan,44.9932,124.0581,277.59,38,2,4.87,CN,1681499749
175,deputatskiy,69.3,139.9,259.16,94,100,0.37,RU,1681499474
176,san patricio,28.017,-97.5169,302.13,70,99,6.82,US,1681499494
177,lamesa,32.7376,-101.951,300.11,10,0,9.28,US,1681499749
178,wewak,-3.5534,143.6268,298.8,89,100,2.86,PG,1681499749
179,port lincoln,-34.7333,135.8667,289.08,69,80,7.18,AU,1681499510
180,saskylakh,71.9167,114.0833,266.91,94,75,5.91,RU,1681499453
181,kiruna,67.8557,20.2251,272.66,40,0,2.57,SE,1681499749
182,palmer,42.1584,-72.3287,307.8,24,75,2.57,US,1681499304
183,sayyan,15.1718,44.3244,291.16,47,3,6.35,YE,1681499749
184,geraldton,-28.7667,114.6,288.38,58,100,3.09,AU,1681499749
185,qaanaaq,77.484,-69.3632,263.37,78,25,1.53,GL,1681499447
186,mumford,5.2618,-0.759,301.15,81,100,6.15,GH,1681499750
187,opunake,-39.4556,173.8583,286.95,82,10,4.88,NZ,1681499750
188,okhotsk,59.3833,143.3,263.77,87,100,1.15,RU,1681499750
189,los llanos de aridane,28.6585,-17.9182,291.55,82,75,5.14,ES,1681499750
190,gizo,-8.103,156.8419,300.84,80,100,8.49,SB,1681499750
191,westport,41.1415,-73.3579,307.38,28,0,4.12,US,1681499517
192,mufulira,-12.5498,28.2407,290.33,97,97,1.82,ZM,1681499750
193,cabo san lucas,22.8909,-109.9124,300.16,56,75,5.66,MX,1681499218
194,chara,56.9064,118.2631,263.35,87,94,0.34,RU,1681499751
195,goderich,43.7501,-81.7165,297.33,33,1,3.6,CA,1681499574
196,yar-sale,66.8333,70.8333,262.61,97,100,0.54,RU,1681499751
197,vila franca do campo,37.7167,-25.4333,290.38,76,92,4.46,PT,1681499497
198,meulaboh,4.1363,96.1285,298.17,89,87,1.19,ID,1681499507
199,marsa matruh,31.3525,27.2453,292.15,69,95,6.08,EG,1681499751
200,ozinki,51.1786,49.6769,273.82,93,100,11.43,RU,1681499751
201,hay river,60.8156,-115.7999,275.35,80,100,4.02,CA,1681499513
202,tafresh,34.692,50.013,279.87,55,0,4.47,IR,1681499751
203,zhangjiakou,40.81,114.8794,278.07,20,65,2.51,CN,1681499751
204,neyshabur,36.2133,58.7958,289.03,18,1,1.48,IR,1681499751
205,pimentel,-6.8367,-79.9342,305.31,48,0,6.69,PE,1681499751
206,verkh-usugli,52.7,115.1667,266.67,75,52,0.84,RU,1681499751
207,ambilobe,-13.2,49.05,296.43,95,0,1.68,MG,1681499752
208,sao joao do piaui,-8.3581,-42.2467,309.2,29,71,1.84,BR,1681499752
209,stromness,58.965,-3.296,280.13,80,59,2.0,GB,1681499752
210,omboue,-1.5746,9.2618,299.5,87,44,2.05,GA,1681499752
211,alofi,-19.0595,-169.9187,299.23,77,84,9.21,NU,1681499503
212,samarai,-10.6167,150.6667,299.57,76,100,5.24,PG,1681499752
213,nara,34.6851,135.8049,287.31,88,100,1.69,JP,1681499752
214,upernavik,72.7868,-56.1549,265.0,90,100,4.6,GL,1681499444
215,dickinson,29.4608,-95.0513,299.29,77,100,6.17,US,1681499730
216,santa rosa,14.3122,121.1114,299.32,95,50,0.04,PH,1681499753
217,kavieng,-2.5744,150.7967,300.47,81,97,4.17,PG,1681499461
218,escarcega,18.6089,-90.7454,312.37,21,0,2.43,MX,1681499753
219,baykit,61.67,96.37,254.09,99,100,1.75,RU,1681499486
220,wagar,16.1525,36.2032,303.16,36,0,6.01,SD,1681499753
221,flinders,-34.5833,150.8552,286.07,90,6,0.89,AU,1681499491
222,hanmer springs,-42.5167,172.8167,278.9,93,1,0.89,NZ,1681499753
223,manama,26.2154,50.5832,297.0,57,0,6.17,BH,1681499753
224,bambous virieux,-20.3428,57.7575,299.29,89,40,1.54,MU,1681499505
225,champerico,14.3,-91.9167,309.45,58,0,5.35,GT,1681499753
226,nicoya,10.1483,-85.452,306.76,45,94,3.49,CR,1681499753
227,tagusao,9.1924,117.8141,299.17,81,12,1.2,PH,1681499753
228,saint george,37.1041,-113.5841,290.9,22,0,4.47,US,1681499445
229,kamina,-8.7386,24.9906,292.24,93,100,1.05,CD,1681499753
230,kiunga,-6.1219,141.2906,295.99,100,100,0.86,PG,1681499754
231,ouadda,8.0777,22.4007,299.57,48,86,1.5,CF,1681499754
232,erenhot,43.6475,111.9767,273.32,40,6,0.41,CN,1681499754
233,berlevag,70.8578,29.0864,272.12,59,0,6.17,NO,1681499478
234,mwinilunga,-11.7358,24.4293,290.39,95,89,1.95,ZM,1681499754
235,kidal,18.4411,1.4078,306.54,9,84,5.36,ML,1681499754
236,vostok,46.4856,135.8833,267.77,85,11,1.65,RU,1681499754
237,raudeberg,61.9875,5.1352,280.52,75,100,2.76,NO,1681499754
238,norman wells,65.282,-126.8329,265.92,85,100,2.45,CA,1681499446
239,zhangye,38.9342,100.4517,283.36,24,100,1.15,CN,1681499457
240,nadym,65.5333,72.5167,262.44,96,100,2.48,RU,1681499563
241,banda aceh,5.5577,95.3222,299.72,84,30,1.03,ID,1681499755
242,fomboni,-12.28,43.7425,301.56,67,4,2.58,KM,1681499755
243,gimli,50.6336,-96.9907,274.2,96,100,5.87,CA,1681499475
244,lagoa,39.05,-27.9833,289.8,84,0,6.93,PT,1681499485
245,beringovskiy,63.05,179.3167,254.74,96,54,2.61,RU,1681499755
246,karachi,24.9056,67.0822,299.05,78,5,2.57,PK,1681499525
247,souillac,-20.5167,57.5167,299.36,89,40,1.54,MU,1681499477
248,fayaoue,-20.65,166.5333,297.64,87,100,10.31,NC,1681499755
249,warwick,41.7001,-71.4162,308.44,30,40,6.69,US,1681499755
250,oussouye,12.485,-16.5469,308.25,55,10,5.1,SN,1681499755
251,narodychi,51.2029,29.0823,280.39,90,100,5.04,UA,1681499755
252,polyarnyy,69.1989,33.4478,269.02,82,12,4.39,RU,1681499755
253,kisangani,0.5167,25.2,295.3,97,86,0.96,CD,1681499756
254,xingyi,24.1877,102.817,287.65,69,0,2.4,CN,1681499756
255,cidreira,-30.1811,-50.2056,292.35,74,100,5.02,BR,1681499442
256,paamiut,61.994,-49.6678,276.01,74,19,3.13,GL,1681499505
257,birin,26.8865,88.0718,291.5,29,100,2.75,NP,1681499756
258,iskateley,67.6803,53.1512,272.17,93,100,5.87,RU,1681499756
259,ahuimanu,21.4447,-157.8378,299.99,73,75,5.14,US,1681499756
260,port hawkesbury,45.6169,-61.3485,280.32,57,0,9.39,CA,1681499756
261,shingu,33.7333,135.9833,284.93,94,100,4.72,JP,1681499757
262,tarakan,3.3,117.6333,299.44,81,71,0.68,ID,1681499757
263,sisophon,13.5859,102.9737,301.59,65,100,2.19,KH,1681499757
264,villeneuve-les-avignon,43.9684,4.7963,285.59,92,100,3.09,FR,1681499757
265,sambava,-14.2667,50.1667,298.08,87,60,3.05,MG,1681499757
266,marzuq,14.4,46.4667,297.39,62,0,3.95,YE,1681499508
267,faya,18.3851,42.4509,288.44,55,0,3.31,SA,1681499758
268,susehri,40.1644,38.0867,282.92,63,29,1.41,TR,1681499758
269,chuy,-33.6971,-53.4616,289.92,53,5,5.4,UY,1681499460
270,trat,12.5,102.5,299.12,90,9,1.08,TH,1681499758
271,benguela,-12.5763,13.4055,300.09,83,57,3.73,AO,1681499758
272,fairbanks,64.8378,-147.7164,269.72,59,75,3.09,US,1681499454
273,qasigiannguit,68.8193,-51.1922,273.29,79,41,1.26,GL,1681499758
274,bambanglipuro,-7.95,110.2833,297.61,84,92,1.39,ID,1681499759
275,sosnovoborsk,56.1325,93.3589,264.45,93,52,3.27,RU,1681499759
276,abu samrah,35.3029,37.1841,287.17,64,3,2.96,SY,1681499759
277,cockburn town,21.4612,-71.1419,300.13,69,75,5.14,TC,1681499421
278,cayenne,4.9333,-52.3333,301.17,78,75,6.17,GF,1681499264
279,la ronge,55.1001,-105.2842,276.15,85,100,0.51,CA,1681499515
280,caramay,10.1815,119.236,298.07,86,9,1.12,PH,1681499759
281,rurrenabaque,-14.4413,-67.5278,305.09,66,40,3.09,BO,1681499759
282,aquiraz,-3.9014,-38.3911,302.2,78,81,3.7,BR,1681499450
283,novopokrovka,49.8425,36.5477,277.15,96,100,5.89,UA,1681499719
284,sao sebastiao,-23.76,-45.4097,296.73,94,100,0.86,BR,1681499689
285,kyabe,9.4515,18.9449,306.82,27,24,1.65,TD,1681499759
286,elk city,35.412,-99.4043,300.27,34,20,8.23,US,1681499665
287,bandar-e lengeh,26.5579,54.8807,299.54,61,100,4.95,IR,1681499759
288,port hedland,-20.3167,118.5667,297.18,64,40,4.63,AU,1681499453
289,minot,48.2325,-101.2963,278.27,75,100,9.26,US,1681499760
290,korla,41.7597,86.1469,288.95,25,100,1.79,CN,1681499760
291,farah,32.5,62.5,299.73,19,100,0.27,AF,1681499760
292,matamoros,25.5333,-103.25,301.21,15,100,3.6,MX,1681499459
293,hami,42.8,93.45,287.75,22,98,1.87,CN,1681499442
294,karratha,-20.7377,116.8463,298.06,38,91,7.31,AU,1681499760
295,chamba,32.5667,76.1333,292.04,46,2,4.65,IN,1681499760
296,bukachacha,52.9833,116.9167,267.74,79,100,1.47,RU,1681499760
297,torbay,47.6666,-52.7314,276.14,86,100,10.8,CA,1681499471
298,taltal,-25.4,-70.4833,294.52,68,17,4.49,CL,1681499492
299,winona,43.9666,-91.7668,300.04,28,0,6.69,US,1681499760
300,kampene,-3.6,26.6667,293.23,98,83,0.67,CD,1681499453
301,esfahan,32.6572,51.6776,283.95,23,0,3.4,IR,1681499764
302,itarema,-2.9248,-39.9167,301.4,78,65,5.15,BR,1681499465
303,hobyo,5.3505,48.5268,302.33,72,22,6.17,SO,1681499502
304,rocha,-34.4833,-54.3333,289.4,51,11,5.07,UY,1681499765
305,touros,-5.1989,-35.4608,301.23,73,34,5.99,BR,1681499509
306,kommunar,59.6206,30.39,277.9,50,100,3.81,RU,1681499765
307,houma,29.5958,-90.7195,300.94,61,61,4.02,US,1681499659
308,ambon,-3.6954,128.1814,298.23,88,40,1.54,ID,1681499765
309,esneux,50.536,5.5678,284.63,43,0,1.03,BE,1681499765
310,kunya,12.2233,8.5325,303.24,26,16,3.09,NG,1681499765
311,avera,33.194,-82.5271,295.88,51,87,5.6,US,1681499460
312,hukuntsi,-24.0,21.75,294.47,25,1,4.42,BW,1681499765
